# -----------------------------------------
# Units explanation:
# -----------------------------------------
# time_step: Simulation time step
# phase_duration: Duration of current traffic light phase (seconds)
# remaining_duration: Time until next phase change (seconds)
# signal_states: Current state of all signals (g=green, y=yellow, r=red, G=priority green)
# total_queue_length: Number of stopped vehicles at intersection (vehicles)
# vehicles_stopped: Number of unique vehicles stopped at intersection (vehicles)
# average_waiting_time: Average time vehicles have been waiting (seconds)
# vehicles_by_type: Dictionary of vehicle counts by vehicle type
# lane_to_signal_mapping: Dictionary mapping lanes to their controlling signals
# -----------------------------------------

time_step,traffic_light_id,program,phase,phase_duration,remaining_duration,signal_states,total_queue_length,vehicles_stopped,average_waiting_time,vehicles_by_type,lane_to_signal_mapping
103,cluster_10824610463_1578496208_2155840709_8748689416_#4more,0,2,3.0,2.5999999999999996,yyyyyyyyyyrrrrrrrryyyyyyrrrrrr,0,0,0.0,"{'floating_car_observer': 2, 'DEFAULT_BIKETYPE': 1, 'DEFAULT_VEHTYPE': 1}",
104,cluster_10824610463_1578496208_2155840709_8748689416_#4more,0,2,3.0,2.5,yyyyyyyyyyrrrrrrrryyyyyyrrrrrr,0,0,0.0,"{'floating_car_observer': 2, 'DEFAULT_BIKETYPE': 1, 'DEFAULT_VEHTYPE': 1}",
105,cluster_10824610463_1578496208_2155840709_8748689416_#4more,0,2,3.0,2.4000000000000004,yyyyyyyyyyrrrrrrrryyyyyyrrrrrr,0,0,0.0,"{'floating_car_observer': 2, 'DEFAULT_BIKETYPE': 1, 'DEFAULT_VEHTYPE': 1}",
106,cluster_10824610463_1578496208_2155840709_8748689416_#4more,0,2,3.0,2.3000000000000007,yyyyyyyyyyrrrrrrrryyyyyyrrrrrr,0,0,0.0,"{'floating_car_observer': 2, 'DEFAULT_BIKETYPE': 1, 'DEFAULT_VEHTYPE': 1}",
107,cluster_10824610463_1578496208_2155840709_8748689416_#4more,0,2,3.0,2.1999999999999993,yyyyyyyyyyrrrrrrrryyyyyyrrrrrr,0,0,0.0,"{'floating_car_observer': 2, 'DEFAULT_BIKETYPE': 1, 'DEFAULT_VEHTYPE': 1}",
108,cluster_10824610463_1578496208_2155840709_8748689416_#4more,0,2,3.0,2.0999999999999996,yyyyyyyyyyrrrrrrrryyyyyyrrrrrr,0,0,0.0,"{'floating_car_observer': 2, 'DEFAULT_BIKETYPE': 1, 'DEFAULT_VEHTYPE': 1}",
109,cluster_10824610463_1578496208_2155840709_8748689416_#4more,0,2,3.0,2.0,yyyyyyyyyyrrrrrrrryyyyyyrrrrrr,0,0,0.0,"{'floating_car_observer': 2, 'DEFAULT_BIKETYPE': 1, 'DEFAULT_VEHTYPE': 1}",
110,cluster_10824610463_1578496208_2155840709_8748689416_#4more,0,2,3.0,1.9000000000000004,yyyyyyyyyyrrrrrrrryyyyyyrrrrrr,0,0,0.0,"{'floating_car_observer': 2, 'DEFAULT_BIKETYPE': 1, 'DEFAULT_VEHTYPE': 1}",
111,cluster_10824610463_1578496208_2155840709_8748689416_#4more,0,2,3.0,1.8000000000000007,yyyyyyyyyyrrrrrrrryyyyyyrrrrrr,0,0,0.0,"{'floating_car_observer': 2, 'DEFAULT_BIKETYPE': 1, 'DEFAULT_VEHTYPE': 1}",
112,cluster_10824610463_1578496208_2155840709_8748689416_#4more,0,2,3.0,1.6999999999999993,yyyyyyyyyyrrrrrrrryyyyyyrrrrrr,1,1,0.0,"{'floating_car_observer': 3, 'DEFAULT_BIKETYPE': 1, 'DEFAULT_VEHTYPE': 1}",
113,cluster_10824610463_1578496208_2155840709_8748689416_#4more,0,2,3.0,1.5999999999999996,yyyyyyyyyyrrrrrrrryyyyyyrrrrrr,0,0,0.0,"{'floating_car_observer': 3, 'DEFAULT_BIKETYPE': 1, 'DEFAULT_VEHTYPE': 1}",
