x_coord,y_coord,continuous_visibility_count
690997.9257130085,5336091.359748492,0.0
690997.9257130085,5336092.359748492,0.0
690997.9257130085,5336093.359748492,0.0
690997.9257130085,5336094.359748492,0.0
690997.9257130085,5336095.359748492,0.0
690997.9257130085,5336096.359748492,0.0
690997.9257130085,5336097.359748492,0.0
690997.9257130085,5336098.359748492,0.0
690997.9257130085,5336099.359748492,0.0
690997.9257130085,5336100.359748492,0.0
690997.9257130085,5336101.359748492,0.0
690997.9257130085,5336102.359748492,0.0
690997.9257130085,5336103.359748492,0.0
690997.9257130085,5336104.359748492,0.0
690997.9257130085,5336105.359748492,0.0
690997.9257130085,5336106.359748492,0.0
690997.9257130085,5336107.359748492,0.0
690997.9257130085,5336108.359748492,0.0
690997.9257130085,5336109.359748492,0.0
690997.9257130085,5336110.359748492,0.0
690997.9257130085,5336111.359748492,0.0
690997.9257130085,5336112.359748492,0.0
690997.9257130085,5336113.359748492,0.0
690997.9257130085,5336114.359748492,0.0
690997.9257130085,5336115.359748492,0.0
690997.9257130085,5336116.359748492,0.0
690997.9257130085,5336117.359748492,0.0
690997.9257130085,5336118.359748492,0.0
690997.9257130085,5336119.359748492,0.0
690997.9257130085,5336120.359748492,0.0
690997.9257130085,5336121.359748492,0.0
690997.9257130085,5336122.359748492,0.0
690997.9257130085,5336123.359748492,0.0
690997.9257130085,5336124.359748492,0.0
690997.9257130085,5336125.359748492,0.0
690997.9257130085,5336126.359748492,0.0
690997.9257130085,5336127.359748492,0.0
690997.9257130085,5336128.359748492,0.0
690997.9257130085,5336129.359748492,0.0
690997.9257130085,5336130.359748492,0.0
690997.9257130085,5336131.359748492,0.0
690997.9257130085,5336132.359748492,0.0
690997.9257130085,5336133.359748492,0.0
690997.9257130085,5336134.359748492,0.0
690997.9257130085,5336135.359748492,0.0
690997.9257130085,5336136.359748492,0.0
690997.9257130085,5336137.359748492,0.0
690997.9257130085,5336138.359748492,0.0
690997.9257130085,5336139.359748492,0.0
690997.9257130085,5336140.359748492,0.0
690997.9257130085,5336141.359748492,0.0
690997.9257130085,5336142.359748492,0.0
690997.9257130085,5336143.359748492,0.0
690997.9257130085,5336144.359748492,0.0
690997.9257130085,5336145.359748492,0.0
690997.9257130085,5336146.359748492,0.0
690997.9257130085,5336147.359748492,0.0
690997.9257130085,5336148.359748492,0.0
690997.9257130085,5336149.359748492,0.0
690997.9257130085,5336150.359748492,0.0
690997.9257130085,5336151.359748492,0.0
690997.9257130085,5336152.359748492,0.0
690997.9257130085,5336153.359748492,0.0
690997.9257130085,5336154.359748492,0.0
690997.9257130085,5336155.359748492,0.0
690997.9257130085,5336156.359748492,0.0
690997.9257130085,5336157.359748492,0.0
690997.9257130085,5336158.359748492,0.0
690997.9257130085,5336159.359748492,0.0
690997.9257130085,5336160.359748492,708.2700000000096
690997.9257130085,5336161.359748492,708.0600000000097
690997.9257130085,5336162.359748492,707.3600000000097
690997.9257130085,5336163.359748492,707.0900000000097
690997.9257130085,5336164.359748492,705.4800000000095
690997.9257130085,5336165.359748492,704.5700000000094
690997.9257130085,5336166.359748492,702.2600000000092
690997.9257130085,5336167.359748492,699.680000000009
690997.9257130085,5336168.359748492,696.530000000009
690997.9257130085,5336169.359748492,690.2900000000084
690997.9257130085,5336170.359748492,673.400000000007
690997.9257130085,5336171.359748492,668.3600000000066
690997.9257130085,5336172.359748492,664.6500000000063
690997.9257130085,5336173.359748492,627.130000000004
690997.9257130085,5336174.359748492,615.0100000000033
690997.9257130085,5336175.359748492,619.5700000000032
690997.9257130085,5336176.359748492,631.6900000000044
690997.9257130085,5336177.359748492,623.1500000000036
690997.9257130085,5336178.359748492,592.4500000000008
690997.9257130085,5336179.359748492,450.86999999999534
690997.9257130085,5336180.359748492,338.02999999999696
690997.9257130085,5336181.359748492,253.39999999999833
690997.9257130085,5336182.359748492,236.66999999999857
690997.9257130085,5336183.359748492,243.94999999999848
690997.9257130085,5336184.359748492,255.42999999999827
690997.9257130085,5336185.359748492,265.22999999999814
690997.9257130085,5336186.359748492,316.3299999999973
690997.9257130085,5336187.359748492,347.0599999999968
690997.9257130085,5336188.359748492,363.5099999999966
690997.9257130085,5336189.359748492,369.2499999999964
690997.9257130085,5336190.359748492,374.56999999999636
690997.9257130085,5336191.359748492,372.2599999999964
690997.9257130085,5336192.359748492,369.2499999999965
690997.9257130085,5336193.359748492,367.14999999999645
690997.9257130085,5336194.359748492,367.9199999999965
690997.9257130085,5336195.359748492,354.47999999999666
690997.9257130085,5336196.359748492,340.40999999999684
690997.9257130085,5336197.359748492,324.23999999999717
690997.9257130085,5336198.359748492,0.0
690997.9257130085,5336199.359748492,0.0
690997.9257130085,5336200.359748492,0.0
690997.9257130085,5336201.359748492,0.0
690997.9257130085,5336202.359748492,0.0
690997.9257130085,5336203.359748492,0.0
690997.9257130085,5336204.359748492,0.0
690997.9257130085,5336205.359748492,0.0
690997.9257130085,5336206.359748492,0.0
